team_id,season,schedule_source,last_updated,opponent_win_pct_rank,opponent_defense_rank,opponent_offense_rank,pass_defense_difficulty,rush_defense_difficulty,pace_environment,rest_travel_grade,bye_week,short_week_count,international_game_count,primetime_count,fantasy_playoff_grade,playoff_pass_defense_difficulty,playoff_rush_defense_difficulty,notes
CIN,2026,Bengals official schedule announcement,2026-05-15,,,,easy,neutral,faster,negative,6,2,1,3,neutral,neutral,neutral,Official schedule has early bye Week 6 plus Madrid Week 9 plus three primetime games plus KC national window plus late Thursday Week 17; opponent mix gives Burrow a mild pass-friendly schedule but travel/rest offsets total-volume boost.
GB,2026,Packers official schedule notes,2026-05-15,,,,neutral,neutral,neutral,positive,11,2,0,6,neutral,neutral,neutral,Official notes cite six primetime games and useful rest/bye shape; keep matchup grades neutral until opponent-defense ratings are complete.
ARI,2026,Cardinals official schedule announcement,2026-05-15,,,,neutral,easy,slower,neutral,14,0,0,0,good,neutral,easy,Official notes cite six of first nine on road plus late Week 14 bye plus six of last eight at home and no current primetime games; rushing/playoff setup mildly positive.
ATL,2026,Falcons official schedule story,2026-05-15,,,,neutral,neutral,neutral,negative,11,1,1,2,neutral,neutral,neutral,Official notes cite Week 11 bye and Madrid international game; schedule impact mostly travel/rest drag with neutral matchup read.
BAL,2026,Ravens official schedule notes,2026-05-15,,,,neutral,neutral,faster,negative,13,2,1,4,neutral,neutral,neutral,Official notes cite Brazil game Week 3 plus four primetime games plus late Week 13 bye; faster/high-profile schedule offset by travel/rest drag.
BUF,2026,Bills official schedule announcement,2026-05-15,,,,hard,neutral,faster,negative,7,3,0,6,neutral,neutral,neutral,Official notes cite multiple primetime matchups plus holiday games and early TNF/MNF travel sequence; pass schedule graded slightly hard with pace up.
CAR,2026,Panthers schedule reports and NFL bye list,2026-05-15,,,,neutral,neutral,neutral,negative,5,2,0,3,neutral,neutral,neutral,Reported schedule has Week 5 bye and three primetime games; early bye creates rest/fatigue drag more than matchup change.
CHI,2026,Bears official schedule announcement,2026-05-15,,,,hard,neutral,faster,negative,10,3,0,7,bad,hard,neutral,Official notes cite Week 10 bye plus heavy national/primetime load and difficult late-season spotlight stretch; schedule raises pace but matchup/rest difficulty.
CLE,2026,Browns official schedule announcement,2026-05-15,,,,easy,easy,neutral,positive,11,1,0,1,neutral,neutral,neutral,Official notes and reports cite easiest opponent win-pct schedule plus Week 11 bye plus only one primetime game; schedule mildly helps efficiency.
DAL,2026,Cowboys official schedule announcement,2026-05-15,,,,neutral,hard,neutral,neutral,14,2,0,6,bad,hard,neutral,Official notes cite Week 14 late bye and at Rams after bye plus at least six primetime games; schedule mostly neutral with tougher rushing/playoff setup.
DEN,2026,Broncos official schedule announcement,2026-05-15,,,,hard,neutral,neutral,neutral,10,2,0,5,neutral,neutral,neutral,Official notes cite three primetime games in first six weeks plus Black Friday standalone and Week 10 bye; playoff-team bookends make pass grade slightly hard.
DET,2026,Lions official schedule announcement,2026-05-15,,,,hard,neutral,faster,negative,6,2,1,4,bad,hard,neutral,Official notes cite Week 6 bye plus four primetime games plus road-heavy close and international/standalone schedule stress; high-profile games lift pace but rest/travel is negative.
